URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/consent-data-meaning,3.0.2,draft,"2.16.840.1.113883.4.642.1.744",ConsentDataMeaning,,"How a resource reference is interpreted when testing consent restrictions","ValueSet/consent-data-meaning"
http://hl7.org/fhir/consent-except-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.742",ConsentExceptType,,"How an exception statement is applied, such as adding additional consent or removing consent","ValueSet/consent-except-type"
http://hl7.org/fhir/consent-state-codes,3.0.2,draft,"2.16.840.1.113883.4.642.1.740",ConsentState,,"Indicates the state of the consent","ValueSet/consent-state-codes"
http://hl7.org/fhir/consentaction,3.0.2,draft,"2.16.840.1.113883.4.642.1.738",Consent Action Codes,,"This value set includes sample Consent Action codes.","ValueSet/consent-action"
http://hl7.org/fhir/consentcategorycodes,3.0.2,draft,"2.16.840.1.113883.4.642.1.736",Consent Category Codes,,"This value set includes sample Consent Directive Type codes, including several consent directive related LOINC codes; HL7 VALUE SET: ActConsentType(2.16.840.1.113883.1.11.19897); examples of US realm consent directive legal descriptions and references to online and/or downloadable forms such as the SSA-827 Authorization to Disclose Information to the Social Security Administration; and other anticipated consent directives related to participation in a clinical trial, medical procedures, reproductive procedures; health care directive (Living Will); advance directive, do not resuscitate (DNR); Physician Orders for Life-Sustaining Treatment (POLST)","ValueSet/consent-category"
http://hl7.org/fhir/contactentity-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.406",ContactEntityType,,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://hl7.org/fhir/data-absent-reason,3.0.2,draft,"2.16.840.1.113883.4.642.1.6",DataAbsentReason,,"Used to specify why the normally expected content of the data element is missing.","ValueSet/observation-valueabsentreason"
http://hl7.org/fhir/days-of-week,3.0.2,draft,"2.16.840.1.113883.4.642.1.507",DaysOfWeek,,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/definition-topic,3.0.2,draft,"2.16.840.1.113883.4.642.1.778",DefinitionTopic,,"High-level categorization of the definition, used for searching, sorting, and filtering","ValueSet/definition-topic"
http://hl7.org/fhir/dicom-audit-lifecycle,20100826,active,,DICOM Audit Message Record Lifecycle Events,,"Attached is vocabulary for the record lifecycle events, as per DICOM Audit Message, ","ValueSet/object-lifecycle-events"
http://hl7.org/fhir/document-reference-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.8",DocumentReferenceStatus,,"The status of the document reference.","ValueSet/document-reference-status"
http://hl7.org/fhir/document-relationship-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.240",DocumentRelationshipType,,"The type of relationship between documents.","ValueSet/document-relationship-type"
http://hl7.org/fhir/endpoint-connection-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.492",Endpoint Connection Type,,"This is an example value set defined by the FHIR project, that could be used to represent possible connection type profile values.","ValueSet/endpoint-connection-type"
http://hl7.org/fhir/endpoint-payload-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.490",Endpoint Payload Type,,"This is an example value set defined by the FHIR project, that could be used to represent possible payload document types.","ValueSet/endpoint-payload-type"
http://hl7.org/fhir/endpoint-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.488",EndpointStatus,,"The status of the endpoint","ValueSet/endpoint-status"
http://hl7.org/fhir/event-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.101",EventStatus,,"Codes identifying the stage lifecycle stage of a event","ValueSet/event-status"
http://hl7.org/fhir/extra-security-role-type,3.0.2,draft,,SecurityRoleType,,"This CodeSystem contains Additional FHIR-defined Security Role types not defined elsewhere","ValueSet/security-role-type"
http://hl7.org/fhir/flag-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.111",FlagStatus,,"Indicates whether this flag is active and needs to be displayed to a user, or whether it is no longer needed or entered in error.","ValueSet/flag-status"
http://hl7.org/fhir/goal-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.271",GoalCategory,,"Example codes for grouping goals for filtering or presentation.","ValueSet/goal-category"
http://hl7.org/fhir/goal-priority,3.0.2,draft,"2.16.840.1.113883.4.642.1.269",GoalPriority,,"Indicates the level of importance associated with reaching or sustaining a goal.","ValueSet/goal-priority"
http://hl7.org/fhir/identifier-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.45",Identifier Type Codes,,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","ValueSet/identifier-type"
http://hl7.org/fhir/identifier-use,3.0.2,draft,"2.16.840.1.113883.4.642.1.53",IdentifierUse,,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/immunization-origin,3.0.2,draft,"2.16.840.1.113883.4.642.1.294",Immunization Origin Codes,,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the source of the data when the report of the immunization event is not based on information from the person, entity or organization who administered the vaccine. This value set is provided as a suggestive example.","ValueSet/immunization-origin"
http://hl7.org/fhir/iso-21089-lifecycle,null,active,,ISO 21089-2017 Health Record Lifecycle Events,,"Attached is vocabulary for the 27 record lifecycle events, as per ISO TS 21089-2017, Health Informatics - Trusted End-to-End Information Flows, Section 3, Terms and Definitions (2017, at ISO Central Secretariat, passed ballot and ready for publication).  This will also be included in the FHIR EHR Record Lifecycle Event Implementation Guide, balloted and (to be) published with FHIR STU-3.","ValueSet/object-lifecycle-events"
http://hl7.org/fhir/link-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.413",LinkType,,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/medication-admin-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.331",MedicationAdministrationStatus,,"A set of codes indicating the current status of a MedicationAdministration.","ValueSet/immunization-status"
http://hl7.org/fhir/medication-request-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.349",MedicationRequestCategory,,"A coded concept identifying where the medication ordered is expected to be consumed or administered","ValueSet/medication-request-category"
http://hl7.org/fhir/medication-request-intent,3.0.2,draft,"2.16.840.1.113883.4.642.1.346",MedicationRequestIntent,,"The kind of medication order","ValueSet/medication-request-intent"
http://hl7.org/fhir/medication-request-priority,3.0.2,draft,"2.16.840.1.113883.4.642.1.351",MedicationRequestPriority,,"Identifies the level of importance to be assigned to actioning the request","ValueSet/medication-request-priority"
http://hl7.org/fhir/medication-request-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.344",MedicationRequestStatus,,"A coded concept specifying the state of the prescribing event. Describes the lifecycle of the prescription","ValueSet/medication-request-status"
http://hl7.org/fhir/medication-statement-category,3.0.2,draft,"2.16.840.1.113883.4.642.1.356",MedicationStatementCategory,,"A coded concept identifying where the medication included in the medicationstatement is expected to be consumed or administered","ValueSet/medication-statement-category"
http://hl7.org/fhir/medication-statement-status,3.0.2,draft,"2.16.840.1.113883.4.642.1.353",MedicationStatementStatus,,"A coded concept indicating the current status of a MedicationStatement.","ValueSet/medication-statement-status"
http://hl7.org/fhir/medication-statement-taken,3.0.2,draft,"2.16.840.1.113883.4.642.1.358",MedicationStatementTaken,,"A coded concept identifying level of certainty if patient has taken or has not taken the medication","ValueSet/medication-statement-taken"
http://hl7.org/fhir/name-assembly-order,3.0.2,draft,"2.16.840.1.113883.4.642.1.833",HumanNameAssemblyOrder,,"A code that represents the preferred display order of the components of a human name","ValueSet/name-assembly-order"
http://hl7.org/fhir/name-use,3.0.2,draft,"2.16.840.1.113883.4.642.1.59",NameUse,,"The use of a human name","ValueSet/name-use"
http://hl7.org/fhir/network-type,3.0.2,draft,"2.16.840.1.113883.4.642.1.450",AuditEventAgentNetworkType,,"The type of network access point of this agent in the audit event","ValueSet/network-type"
